ZJL296	0	0	0	0	0	0	0	1	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ZJL297	0	0	1	0	0	0	0	0	0	0	0	0	0.8	0	0	0.2	0.5	0.2	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ZJL298	0	0	0	0	1	0	0	0	0	0	0.1	0.1	0.2	0.1	0.1	0.1	0.3	0.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ZJL299	0	0	0	0	0	0	0	0	0	0.5	0	0	0.2	0	0.8	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
ZJL300	1	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ZJL301	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0.2	0	0.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
ZJL302	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ZJL303	0	0	0	0	0	0	0	0	1	0	0.1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ZJL304	0	1	0	0	0	0	0	0	0	0	0	0	0.8	0.8	0.8	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0
ZJL305	0	0	0	0	0	0	1	0	0	0	0	0.2	0.2	0	0.8	0.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ZJL306	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.8	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ZJL307	0	0	0	0	0	0	0	0	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
ZJL308	0	0	0	0	0	0	0	0	0	1	0.8	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0.5	0	0
ZJL309	0	0	0	1	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJL310	0	0	0	0	0	0	1	0	0	0	0	0.5	0.5	0	0.8	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ZJL311	0	0	0	0	0.8	0.8	0	0	0	0	0.2	0.3	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0.5	1	1	1	0	0	0	0	0	0	0	0	0	0
ZJL312	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ZJL313	0	0	0	1	0	0	1	0	0	0	0	0.5	0	0.5	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJL314	0	0	1	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJL315	0	0	0	0	0	0	0	0	1	0	0.2	0.5	0.1	0.1	0.5	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJL316	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	1	1	0	0	0
ZJL317	1	0	0	0	0	0	0.2	0	0	0	0.8	0	0	0	0.4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
